Country,Population,PopulationDensity,MedianAge,Day,NumberOfNewCases
USA,331002647,35.608,38.3,1,0
USA,331002647,35.608,38.3,2,0
USA,331002647,35.608,38.3,3,0
USA,331002647,35.608,38.3,4,0
USA,331002647,35.608,38.3,5,0
USA,331002647,35.608,38.3,6,0
USA,331002647,35.608,38.3,7,0
USA,331002647,35.608,38.3,8,0
USA,331002647,35.608,38.3,9,0
USA,331002647,35.608,38.3,10,0
USA,331002647,35.608,38.3,11,0
USA,331002647,35.608,38.3,12,0
USA,331002647,35.608,38.3,13,0
USA,331002647,35.608,38.3,14,0
USA,331002647,35.608,38.3,15,0
USA,331002647,35.608,38.3,16,0
USA,331002647,35.608,38.3,17,0
USA,331002647,35.608,38.3,18,0
USA,331002647,35.608,38.3,19,0
USA,331002647,35.608,38.3,20,0
USA,331002647,35.608,38.3,21,0
USA,331002647,35.608,38.3,22,1
USA,331002647,35.608,38.3,23,0
USA,331002647,35.608,38.3,24,0
USA,331002647,35.608,38.3,25,0
USA,331002647,35.608,38.3,26,1
USA,331002647,35.608,38.3,27,0
USA,331002647,35.608,38.3,28,3
USA,331002647,35.608,38.3,29,0
USA,331002647,35.608,38.3,30,0
USA,331002647,35.608,38.3,31,0
USA,331002647,35.608,38.3,32,1
USA,331002647,35.608,38.3,33,1
USA,331002647,35.608,38.3,34,1
USA,331002647,35.608,38.3,35,3
USA,331002647,35.608,38.3,36,0
USA,331002647,35.608,38.3,37,0
USA,331002647,35.608,38.3,38,1
USA,331002647,35.608,38.3,39,0
USA,331002647,35.608,38.3,40,0
USA,331002647,35.608,38.3,41,0
USA,331002647,35.608,38.3,42,0
USA,331002647,35.608,38.3,43,1
USA,331002647,35.608,38.3,44,0
USA,331002647,35.608,38.3,45,1
USA,331002647,35.608,38.3,46,1
USA,331002647,35.608,38.3,47,0
USA,331002647,35.608,38.3,48,0
USA,331002647,35.608,38.3,49,0
USA,331002647,35.608,38.3,50,0
USA,331002647,35.608,38.3,51,0
USA,331002647,35.608,38.3,52,0
USA,331002647,35.608,38.3,53,1
USA,331002647,35.608,38.3,54,19
USA,331002647,35.608,38.3,55,0
USA,331002647,35.608,38.3,56,0
USA,331002647,35.608,38.3,57,18
USA,331002647,35.608,38.3,58,0
USA,331002647,35.608,38.3,59,6
USA,331002647,35.608,38.3,60,1
USA,331002647,35.608,38.3,61,6
USA,331002647,35.608,38.3,62,3
USA,331002647,35.608,38.3,63,20
USA,331002647,35.608,38.3,64,14
USA,331002647,35.608,38.3,65,22
USA,331002647,35.608,38.3,66,34
USA,331002647,35.608,38.3,67,74
USA,331002647,35.608,38.3,68,105
USA,331002647,35.608,38.3,69,95
USA,331002647,35.608,38.3,70,121
USA,331002647,35.608,38.3,71,200
USA,331002647,35.608,38.3,72,271
USA,331002647,35.608,38.3,73,287
USA,331002647,35.608,38.3,74,351
USA,331002647,35.608,38.3,75,511
USA,331002647,35.608,38.3,76,777
USA,331002647,35.608,38.3,77,823
USA,331002647,35.608,38.3,78,887
USA,331002647,35.608,38.3,79,1766
USA,331002647,35.608,38.3,80,2988
USA,331002647,35.608,38.3,81,4835
USA,331002647,35.608,38.3,82,5374
USA,331002647,35.608,38.3,83,7123
USA,331002647,35.608,38.3,84,8459
USA,331002647,35.608,38.3,85,11236
USA,331002647,35.608,38.3,86,8789
USA,331002647,35.608,38.3,87,13963
USA,331002647,35.608,38.3,88,16797
USA,331002647,35.608,38.3,89,18695
USA,331002647,35.608,38.3,90,19979
USA,331002647,35.608,38.3,91,18360
USA,331002647,35.608,38.3,92,21595
USA,331002647,35.608,38.3,93,24998
USA,331002647,35.608,38.3,94,27103
USA,331002647,35.608,38.3,95,28819
USA,331002647,35.608,38.3,96,32425
USA,331002647,35.608,38.3,97,34272
USA,331002647,35.608,38.3,98,25398
USA,331002647,35.608,38.3,99,30561
USA,331002647,35.608,38.3,100,30613
USA,331002647,35.608,38.3,101,33323
USA,331002647,35.608,38.3,102,33901
USA,331002647,35.608,38.3,103,35527
USA,331002647,35.608,38.3,104,28391
USA,331002647,35.608,38.3,105,27620
USA,331002647,35.608,38.3,106,25023
USA,331002647,35.608,38.3,107,26922
USA,331002647,35.608,38.3,108,30148
USA,331002647,35.608,38.3,109,31667
USA,331002647,35.608,38.3,110,30833
USA,331002647,35.608,38.3,111,32922
USA,331002647,35.608,38.3,112,24601
USA,331002647,35.608,38.3,113,28065
USA,331002647,35.608,38.3,114,37289
USA,331002647,35.608,38.3,115,17588
USA,331002647,35.608,38.3,116,26543
USA,331002647,35.608,38.3,117,21352
USA,331002647,35.608,38.3,118,48529
USA,331002647,35.608,38.3,119,26857
USA,331002647,35.608,38.3,120,22541
USA,331002647,35.608,38.3,121,24132
USA,331002647,35.608,38.3,122,27326
USA,331002647,35.608,38.3,123,29917
USA,331002647,35.608,38.3,124,33955
USA,331002647,35.608,38.3,125,29288
USA,331002647,35.608,38.3,126,24972
USA,331002647,35.608,38.3,127,22593
USA,331002647,35.608,38.3,128,23841
USA,331002647,35.608,38.3,129,24128
USA,331002647,35.608,38.3,130,28369
USA,331002647,35.608,38.3,131,26957
USA,331002647,35.608,38.3,132,25612
USA,331002647,35.608,38.3,133,20258
USA,331002647,35.608,38.3,134,18117
USA,331002647,35.608,38.3,135,22048
USA,331002647,35.608,38.3,136,20782
USA,331002647,35.608,38.3,137,27143
USA,331002647,35.608,38.3,138,25508
USA,331002647,35.608,38.3,139,24487
USA,331002647,35.608,38.3,140,18873
USA,331002647,35.608,38.3,141,21841
USA,331002647,35.608,38.3,142,19970
USA,331002647,35.608,38.3,143,23285
USA,331002647,35.608,38.3,144,25434
USA,331002647,35.608,38.3,145,24147
USA,331002647,35.608,38.3,146,21236
USA,331002647,35.608,38.3,147,20568
USA,331002647,35.608,38.3,148,19064
USA,331002647,35.608,38.3,149,18910
USA,331002647,35.608,38.3,150,18721
USA,331002647,35.608,38.3,151,21817
USA,331002647,35.608,38.3,152,25337
USA,331002647,35.608,38.3,153,23297
USA,331002647,35.608,38.3,154,19807
USA,331002647,35.608,38.3,155,21086
USA,331002647,35.608,38.3,156,20544
USA,331002647,35.608,38.3,157,19699
USA,331002647,35.608,38.3,158,21140
